Date,close
2020-10-13,116.80086517333984
2020-10-14,115.75878143310547
2020-10-15,114.92607116699219
2020-10-16,114.34037017822266
2020-10-19,112.36233520507812
2020-10-20,112.78689575195312
2020-10-21,112.9316177368164
2020-10-22,112.62285614013672
2020-10-23,112.89303588867188
2020-10-26,111.13693237304688
2020-10-27,112.01496887207031
2020-10-28,107.76943969726562
2020-10-29,109.5255355834961
2020-10-30,106.96855926513672
2020-11-02,107.00715637207031
2020-11-03,109.44931030273438
2020-11-04,113.6552963256836
2020-11-05,116.67542266845703
2020-11-06,116.75263214111328
2020-11-09,114.34037017822266
2020-11-10,112.2340087890625
2020-11-11,114.92899322509766
2020-11-12,114.26318359375
2020-11-13,115.353515625
2020-11-16,115.85527038574219
2020-11-17,115.84561157226562
2020-11-18,115.35157775878906
2020-11-19,115.91316986083984
2020-11-20,115.19915008544922
2020-11-23,115.11231231689453
2020-11-24,116.79122161865234
2020-11-25,117.44638061523438
2020-11-27,118.44119262695312
2020-11-30,118.69207000732422
2020-12-01,120.34203338623047
2020-12-02,120.45784759521484
2020-12-03,120.63150024414062
2020-12-04,121.04641723632812
2020-12-07,121.41309356689453
2020-12-08,122.16088104248047
2020-12-09,119.50260925292969
2020-12-10,119.898193359375
2020-12-11,119.61837005615234
2020-12-14,120.50607299804688
2020-12-15,121.7990493774414
2020-12-16,122.4551773071289
2020-12-17,123.27534484863281
2020-12-18,122.95692443847656
2020-12-21,122.63412475585938
2020-12-22,122.97238159179688
2020-12-23,122.4118423461914
2020-12-24,122.92406463623047
2020-12-28,124.17079162597656
2020-12-29,124.31575012207031
2020-12-30,124.21910858154297
2020-12-31,124.58638000488281
2021-01-04,122.8177490234375
2021-01-05,123.79871368408203
2021-01-06,122.09290313720703
2021-01-07,125.1179428100586
2021-01-08,126.74158477783203
2021-01-11,124.84732818603516
2021-01-12,124.80864715576172
2021-01-13,125.48517608642578
2021-01-14,124.80864715576172
2021-01-15,123.80355072021484
2021-01-19,125.66881561279297
2021-01-20,128.60684204101562
2021-01-21,129.65060424804688
2021-01-22,129.2930450439453
2021-01-25,130.11456298828125
2021-01-26,130.51077270507812
2021-01-27,127.04117584228516
2021-01-28,127.65006256103516
2021-01-29,125.03093719482422
2021-02-01,128.09463500976562
2021-02-02,130.19668579101562
2021-02-03,129.71829223632812
2021-02-04,131.10031127929688
2021-02-05,131.62220764160156
2021-02-08,132.44366455078125
2021-02-09,132.41468811035156
2021-02-10,132.0860595703125
2021-02-11,132.82931518554688
2021-02-12,133.65176391601562
2021-02-16,133.28456115722656
2021-02-17,132.62728881835938
2021-02-18,132.06674194335938
2021-02-19,131.39988708496094
2021-02-22,128.10427856445312
2021-02-23,127.72735595703125
2021-02-24,128.7711639404297
2021-02-25,124.21910858154297
2021-02-26,125.36918640136719
2021-03-01,128.50057983398438
2021-03-02,126.4129409790039
2021-03-03,122.78874969482422
2021-03-04,120.72052001953125
2021-03-05,122.72111511230469
2021-03-08,119.1162109375
2021-03-09,123.93885040283203
2021-03-10,123.41693115234375
2021-03-11,126.39362335205078
2021-03-12,125.27254486083984
2021-03-15,126.64493560791016
2021-03-16,127.31177520751953
2021-03-17,127.82405090332031
2021-03-18,123.96784973144531
2021-03-19,124.4607162475586
2021-03-22,126.7414321899414
2021-03-23,126.08345794677734
2021-03-24,124.0514144897461
2021-03-25,123.83855438232422
2021-03-26,125.735107421875
2021-03-29,125.46417999267578
2021-03-30,125.02877807617188
2021-03-31,126.97370910644531
2021-04-01,129.07350158691406
2021-04-05,131.6957550048828
2021-04-06,131.49742126464844
2021-04-07,131.86026000976562
2021-04-08,133.224609375
2021-04-09,134.0181427001953
2021-04-12,133.91168212890625
2021-04-13,135.44056701660156
2021-04-14,133.785888671875
2021-04-15,135.7985382080078
2021-04-16,136.0404815673828
2021-04-19,134.81158447265625
2021-04-20,133.77622985839844
2021-04-21,134.88900756835938
2021-04-22,133.3794708251953
2021-04-23,134.9857177734375
2021-04-26,135.85659790039062
2021-04-27,135.16961669921875
2021-04-28,134.7438201904297
2021-04-29,135.26637268066406
2021-04-30,134.33743286132812
2021-05-03,133.66976928710938
2021-05-04,131.41514587402344
2021-05-05,130.85389709472656
2021-05-06,131.84092712402344
2021-05-07,132.9827117919922
2021-05-10,129.60565185546875
2021-05-11,129.42178344726562
2021-05-12,126.04473114013672
2021-05-13,126.97370910644531
2021-05-14,129.84754943847656
2021-05-17,128.98634338378906
2021-05-18,128.07676696777344
2021-05-19,128.35739135742188
2021-05-20,130.74754333496094
2021-05-21,129.98306274414062
2021-05-24,132.2086181640625
2021-05-25,132.46022033691406
2021-05-26,132.89566040039062
2021-05-27,132.46022033691406
2021-05-28,132.7891845703125
2021-06-01,132.3827667236328
2021-06-02,132.595703125
2021-06-03,131.20225524902344
2021-06-04,133.4859161376953
2021-06-07,133.85360717773438
2021-06-08,133.87295532226562
2021-06-09,133.98907470703125
2021-06-10,135.34861755371094
2021-06-11,135.6824188232422
2021-06-14,136.92391967773438
2021-06-15,136.1759490966797
2021-06-16,135.63409423828125
2021-06-17,137.34678649902344
2021-06-18,136.23399353027344
2021-06-21,137.1079559326172
2021-06-22,138.39654541015625
2021-06-23,138.39654541015625
2021-06-24,139.2491912841797
2021-06-25,139.15228271484375
2021-06-28,140.85755920410156
2021-06-29,141.3129425048828
2021-06-30,141.1967010498047
2021-07-01,141.1967010498047
2021-07-02,142.78565979003906
2021-07-06,143.3573455810547
2021-07-07,143.63829040527344
2021-07-08,142.85350036621094
2021-07-09,143.7254638671875
2021-07-12,144.3164825439453
2021-07-13,144.30682373046875
2021-07-14,144.53933715820312
2021-07-15,143.53173828125
2021-07-16,142.38841247558594
2021-07-19,141.24510192871094
2021-07-20,142.87289428710938
2021-07-21,143.89990234375
2021-07-22,144.91722106933594
2021-07-23,146.51588439941406
2021-07-26,146.7193603515625
2021-07-27,145.14007568359375
2021-07-28,145.6632537841797
2021-07-29,145.91517639160156
2021-07-30,145.17880249023438
2021-08-02,145.1691131591797
2021-08-03,146.05084228515625
2021-08-04,146.27366638183594
2021-08-05,147.19412231445312
2021-08-06,146.55462646484375
2021-08-09,146.82591247558594
2021-08-10,146.0799102783203
2021-08-11,145.81829833984375
2021-08-12,146.35118103027344
2021-08-13,146.8550262451172
2021-08-16,146.93252563476562
2021-08-17,145.63418579101562
2021-08-18,144.23899841308594
2021-08-19,144.91722106933594
2021-08-20,146.4189910888672
2021-08-23,148.58935546875
2021-08-24,149.0834503173828
2021-08-25,149.17063903808594
2021-08-26,148.30831909179688
2021-08-27,149.72293090820312
2021-08-30,151.41844177246094
2021-08-31,151.27316284179688
2021-09-01,151.54446411132812
2021-09-02,151.48631286621094
2021-09-03,151.9416961669922
2021-09-07,152.15489196777344
2021-09-08,151.64134216308594
2021-09-09,151.1084442138672
2021-09-10,149.9845428466797
2021-09-13,149.8682098388672
2021-09-14,149.44192504882812
2021-09-15,150.52711486816406
2021-09-16,150.6337127685547
2021-09-17,148.88967895507812
2021-09-20,145.87899780273438
2021-09-21,145.92745971679688
2021-09-22,147.3048095703125
2021-09-23,148.643310546875
2021-09-24,148.82760620117188
2021-09-27,147.644287109375
2021-09-28,143.59962463378906
2021-09-29,143.23106384277344
2021-09-30,142.6878662109375
2021-10-01,143.58023071289062
2021-10-04,140.65098571777344
2021-10-05,142.4647674560547
2021-10-06,143.4347686767578
2021-10-07,144.6956329345703
2021-10-08,143.9875946044922
2021-10-11,142.8915557861328
2021-10-12,142.40660095214844
2021-10-13,143.5026397705078
2021-10-14,146.16029357910156
2021-10-15,147.1011199951172
2021-10-18,148.5657196044922
2021-10-19,149.6229705810547
2021-10-20,149.4774627685547
2021-10-21,150.41831970214844
2021-10-22,149.13795471191406
2021-10-25,150.68019104003906
2021-10-26,151.08753967285156
2021-10-27,151.51434326171875
2021-10-28,153.16323852539062
2021-10-29,153.97799682617188
2021-11-01,154.43382263183594
2021-11-02,155.083740234375
2021-11-03,156.77142333984375
2021-11-04,158.759765625
2021-11-05,158.90525817871094
2021-11-08,158.7015838623047
2021-11-09,157.62493896484375
2021-11-10,155.3068389892578
2021-11-11,155.723876953125
2021-11-12,157.35336303710938
2021-11-15,157.32424926757812
2021-11-16,158.46878051757812
2021-11-17,158.51727294921875
2021-11-18,160.14682006835938
2021-11-19,161.0779571533203
2021-11-22,159.24473571777344
2021-11-23,158.4784698486328
2021-11-24,158.97315979003906
2021-11-26,155.96641540527344
2021-11-29,159.32235717773438
2021-11-30,157.02359008789062
2021-12-01,154.43382263183594
2021-12-02,155.4910888671875
2021-12-03,152.8043212890625
2021-12-06,153.9876708984375
2021-12-07,158.7015838623047
2021-12-08,159.3611602783203
2021-12-09,157.09146118164062
2021-12-10,158.73068237304688
2021-12-13,156.42222595214844
2021-12-14,154.8703155517578
2021-12-15,158.21658325195312
2021-12-16,154.33685302734375
2021-12-17,153.49302673339844
2021-12-20,152.02606201171875
2021-12-21,155.33665466308594
2021-12-22,157.23951721191406
2021-12-23,158.49192810058594
2021-12-27,161.06468200683594
2021-12-28,160.3754119873047
2021-12-29,160.3365936279297
2021-12-30,159.7152099609375
2021-12-31,158.783203125
2022-01-03,160.4239501953125
2022-01-04,158.31719970703125
2022-01-05,153.54058837890625
2022-01-06,153.35617065429688
2022-01-07,151.71539306640625
2022-01-10,151.8610076904297
2022-01-11,153.9871826171875
2022-01-12,154.71530151367188
2022-01-13,150.93870544433594
2022-01-14,151.72506713867188
2022-01-18,148.17173767089844
2022-01-19,146.38540649414062
2022-01-20,144.47279357910156
2022-01-21,140.42431640625
2022-01-24,141.0165557861328
2022-01-25,137.68653869628906
2022-01-26,137.67681884765625
2022-01-27,136.26907348632812
2022-01-28,140.46315002441406
2022-01-31,144.95822143554688
2022-02-01,145.95822143554688
2022-02-02,147.1426544189453
2022-02-03,141.23989868164062
2022-02-04,142.86117553710938
2022-02-07,141.84181213378906
2022-02-08,143.43397521972656
2022-02-09,146.40481567382812
2022-02-10,143.2204132080078
2022-02-11,138.64768981933594
2022-02-14,138.8224334716797
2022-02-15,142.171875
2022-02-16,142.171875
2022-02-17,137.96807861328125
2022-02-18,136.4147186279297
2022-02-22,135.0458221435547
2022-02-23,131.5216064453125
2022-02-24,135.89047241210938
2022-02-25,138.0943145751953
2022-02-28,138.6282958984375
2022-03-01,136.32733154296875
2022-03-02,138.67678833007812
2022-03-03,136.71568298339844
2022-03-04,134.73512268066406
2022-03-07,129.75462341308594
2022-03-08,129.16241455078125
2022-03-09,133.69631958007812
2022-03-10,132.3079833984375
2022-03-11,129.58958435058594
2022-03-14,127.10424041748047
2022-03-15,131.08473205566406
2022-03-16,135.84190368652344
2022-03-17,137.521484375
2022-03-18,140.3660888671875
2022-03-21,140.02000427246094
2022-03-22,142.73233032226562
2022-03-23,140.70054626464844
2022-03-24,143.76284790039062
2022-03-25,143.70449829101562
2022-03-28,145.85296630859375
2022-03-29,148.4194793701172
2022-03-30,146.8445587158203
2022-03-31,144.8224639892578
2022-04-01,144.69607543945312
2022-04-04,147.64173889160156
2022-04-05,144.38499450683594
2022-04-06,141.19631958007812
2022-04-07,141.56576538085938
2022-04-08,139.66033935546875
2022-04-11,136.43272399902344
2022-04-12,135.74253845214844
2022-04-13,138.50343322753906
2022-04-14,135.3341827392578
